Id,LoaiNha,PhanVung,DienTichLot,CauHinhLot,LoaiToaNha,TinhTrangTongThe,NamXayDung,NamSuaChua,VatLieuNgoai,BsmtFinSF2,TongSoBsmtSF,GiaBan
1,CanHo,HN,104,ChuNhat,1Tang,5,1990,1990,ToiGach,0,0,1466049312
2,ChungCu,CT,131,TamGiac,CanHo,7,2005,2005,ToiGach,0,0,1673472993
3,NhaLienKe,CT,74,ChuL,CanHo,10,2003,2017,BeTong,0,0,1034951346
4,NhaPho,HCM,71,TamGiac,1Tang,5,2017,2017,Toi,0,0,972787614
5,NhaPho,DN,183,ChuNhat,3Tang,5,2018,2018,BeTong,0,0,2419444830
6,ChungCu,HCM,109,TamGiac,CanHo,7,2011,2011,Toi,0,0,1593438082
7,NhaLienKe,HP,95,TamGiac,2Tang,5,2011,2011,BeTong,0,0,1148945675
8,ChungCu,HN,67,ChuNhat,CanHo,9,2004,2016,ToiGach,0,0,832400295
9,NhaLienKe,CT,51,ChuL,2Tang,7,1991,1991,BeTong,0,0,672644814
10,CanHo,HN,155,ChuNhat,2Tang,10,2011,2014,BeTong,0,0,2228549235
11,ChungCu,HP,155,Vuong,3Tang,5,2016,2016,ToiGach,0,0,2192484765
12,ChungCu,HCM,169,ChuNhat,3Tang,7,2014,2014,ToiGach,0,0,2441185058
13,ChungCu,HP,152,Vuong,2Tang,6,1993,1993,ToiGach,0,0,1846786624
14,CanHo,CT,168,Vuong,1Tang,8,1994,1994,Gach,0,0,2194702440
15,CanHo,CT,94,TamGiac,2Tang,8,2010,2010,BeTong,0,0,1189342990
16,NhaLienKe,HCM,177,Vuong,2Tang,9,2013,2013,ToiGach,0,0,2437534968
17,CanHo,HP,119,ChuNhat,2Tang,10,2022,2022,Toi,0,0,1445970666
18,NhaLienKe,DN,58,Vuong,3Tang,5,2011,2011,Toi,0,0,773582424
19,NhaPho,HP,79,ChuL,3Tang,6,2019,2021,BeTong,0,0,971414652
20,CanHo,DN,88,ChuL,1Tang,5,1991,1991,Gach,0,0,1254424072
21,CanHo,HN,160,TamGiac,2Tang,10,2006,2018,ToiGach,0,0,1925912160
22,CanHo,HP,88,ChuNhat,3Tang,10,2002,2014,BeTong,0,0,1319662872
23,NhaPho,HCM,159,ChuNhat,2Tang,8,2012,2012,Gach,0,0,2232674502
24,CanHo,HN,149,TamGiac,2Tang,6,2018,2018,Toi,0,0,2220290571
25,CanHo,HP,143,TamGiac,1Tang,5,2011,2011,BeTong,0,0,1956161636
26,ChungCu,DN,54,ChuL,1Tang,7,2019,2019,Toi,0,0,652593402
27,NhaLienKe,HP,143,TamGiac,3Tang,6,2009,2009,Toi,0,0,1837027049
28,ChungCu,CT,61,Vuong,3Tang,6,1997,2011,Toi,0,0,886138033
29,CanHo,DN,89,ChuL,2Tang,10,2015,2015,ToiGach,0,0,1184161198
30,NhaPho,HN,175,ChuNhat,3Tang,6,1993,2003,Gach,0,0,2208402175
31,CanHo,HCM,101,ChuNhat,3Tang,10,2013,2018,ToiGach,0,0,1265270632
32,CanHo,HN,177,Vuong,1Tang,8,2003,2003,Gach,0,0,2294430645
33,CanHo,HCM,115,ChuL,1Tang,6,2014,2020,Gach,0,0,1513200360
34,NhaLienKe,CT,162,TamGiac,2Tang,8,1993,1993,ToiGach,0,0,2053836000
35,NhaLienKe,HN,186,ChuL,1Tang,7,2005,2018,BeTong,0,0,2463896616
36,CanHo,CT,97,Vuong,CanHo,9,1993,1997,Gach,0,0,1314419064
37,NhaLienKe,DN,114,TamGiac,CanHo,8,1993,2016,ToiGach,0,0,1708486308
38,NhaPho,HP,62,ChuL,2Tang,6,2008,2014,ToiGach,0,0,839042776
39,CanHo,HCM,98,Vuong,CanHo,7,2003,2008,BeTong,0,0,1191393644
40,NhaPho,HCM,102,ChuL,1Tang,7,2015,2017,BeTong,0,0,1511580840
41,NhaLienKe,DN,74,TamGiac,3Tang,5,2014,2014,Toi,0,0,1082760970
42,NhaLienKe,HCM,116,ChuL,CanHo,9,2013,2023,BeTong,0,0,1664919928
43,ChungCu,HP,64,Vuong,2Tang,7,1997,1997,BeTong,0,0,898279168
44,NhaPho,HP,172,Vuong,3Tang,10,2015,2022,Toi,0,0,2460164848
45,NhaLienKe,HCM,151,Vuong,3Tang,10,2009,2022,Gach,0,0,2083702303
46,NhaLienKe,HN,97,ChuL,2Tang,7,1990,2003,Gach,0,0,1446239154
47,NhaPho,HP,139,ChuL,3Tang,9,1991,1991,ToiGach,0,0,2030748300
48,NhaLienKe,DN,157,TamGiac,3Tang,9,1993,2003,Toi,0,0,1955895324
49,NhaPho,HCM,52,ChuNhat,1Tang,9,1994,2004,Gach,0,0,669753708
50,NhaPho,HCM,151,ChuNhat,2Tang,8,2009,2009,Gach,0,0,2237166019
51,ChungCu,HN,188,ChuNhat,2Tang,9,2000,2000,Toi,0,0,2661944264
52,CanHo,HP,131,Vuong,3Tang,6,2020,2020,Gach,0,0,1861539082
53,NhaPho,HP,172,TamGiac,1Tang,6,2006,2006,Gach,0,0,2190600084
54,NhaLienKe,CT,76,ChuNhat,3Tang,10,2007,2010,BeTong,0,0,1031932484
55,CanHo,CT,105,ChuL,CanHo,9,1992,1992,ToiGach,0,0,1469769840
56,ChungCu,CT,112,TamGiac,3Tang,7,1990,1997,Toi,0,0,1477649488
57,NhaPho,CT,120,Vuong,3Tang,9,1995,1995,ToiGach,0,0,1633790880
58,NhaPho,HCM,136,Vuong,CanHo,6,2002,2009,Gach,0,0,1849484400
59,CanHo,DN,170,Vuong,1Tang,6,1991,2016,ToiGach,0,0,2329287130
60,ChungCu,CT,133,TamGiac,3Tang,8,2000,2000,ToiGach,0,0,1880838386
